                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.2214,                 1.5379,                 1.1787,                 0.4791,                0.53264,                0.47543,                0.30188,                 1.1134,                 1.5181,                 1.1958,             0.00091588,             0.00091588,             0.00091588
                     56,                 1.2153,                 1.5295,                 1.1756,                0.48372,                0.56276,                0.47653,                0.30803,                  1.109,                   1.44,                 1.1965,             0.00090969,             0.00090969,             0.00090969
                     57,                 1.2285,                 1.5292,                 1.1925,                0.45838,                 0.5961,                0.48795,                0.29905,                 1.1887,                 1.4254,                 1.2211,              0.0009035,              0.0009035,              0.0009035
                     58,                 1.2504,                 1.5298,                 1.1894,                0.51786,                0.53874,                0.49476,                0.31856,                 1.1299,                 1.4187,                 1.2072,             0.00089731,             0.00089731,             0.00089731
                     59,                 1.2358,                 1.5212,                 1.1928,                0.50567,                 0.5669,                0.48923,                0.31903,                 1.1257,                 1.4094,                 1.1974,             0.00089112,             0.00089112,             0.00089112
                     60,                 1.1952,                 1.4918,                 1.1721,                0.50708,                0.58019,                0.50515,                0.32068,                 1.1085,                 1.4119,                 1.1879,             0.00088494,             0.00088494,             0.00088494
                     61,                 1.2105,                 1.5114,                  1.178,                0.52967,                0.56826,                0.49054,                0.31434,                 1.1422,                 1.4217,                 1.2044,             0.00087875,             0.00087875,             0.00087875
                     62,                 1.2059,                 1.4938,                 1.1692,                0.50777,                0.57085,                0.50567,                0.33178,                 1.0875,                 1.4279,                 1.1744,             0.00087256,             0.00087256,             0.00087256
                     63,                 1.1974,                 1.4753,                 1.1587,                0.46944,                0.59544,                 0.5096,                0.33357,                 1.0833,                 1.4057,                 1.1774,             0.00086637,             0.00086637,             0.00086637
                     64,                 1.2048,                 1.5014,                 1.1755,                0.50944,                0.57333,                0.49698,                0.31503,                 1.1451,                 1.4511,                 1.2036,             0.00086019,             0.00086019,             0.00086019
                     65,                 1.2068,                 1.5045,                 1.1891,                0.50937,                0.56619,                 0.5042,                0.32376,                 1.1437,                 1.4072,                 1.2001,               0.000854,               0.000854,               0.000854
                     66,                 1.1798,                  1.466,                 1.1672,                0.50212,                0.55995,                0.50928,                0.32356,                 1.1303,                 1.4128,                 1.2005,             0.00084781,             0.00084781,             0.00084781
                     67,                 1.1899,                 1.4756,                 1.1633,                 0.5035,                0.57892,                0.50977,                0.33102,                 1.0993,                 1.4143,                 1.1842,             0.00084162,             0.00084162,             0.00084162
                     68,                 1.1847,                 1.4749,                 1.1555,                0.46688,                0.59526,                 0.4927,                0.32458,                 1.0951,                 1.3974,                 1.1821,             0.00083544,             0.00083544,             0.00083544
                     69,                 1.2149,                  1.491,                 1.1723,                0.51575,                0.57236,                0.52261,                0.33284,                 1.1104,                 1.3907,                 1.1917,             0.00082925,             0.00082925,             0.00082925
                     70,                 1.1881,                 1.4858,                 1.1626,                0.51716,                0.60849,                0.52723,                0.34509,                 1.1279,                 1.3817,                 1.1954,             0.00082306,             0.00082306,             0.00082306
                     71,                 1.1872,                 1.4659,                 1.1496,                0.55779,                0.59942,                0.53046,                0.34318,                 1.1155,                 1.4538,                 1.1911,             0.00081688,             0.00081688,             0.00081688
                     72,                 1.2083,                 1.4581,                 1.1679,                0.51661,                0.59141,                0.53991,                0.36163,                 1.0902,                 1.3537,                 1.1743,             0.00081069,             0.00081069,             0.00081069
                     73,                 1.1846,                 1.4446,                 1.1565,                  0.505,                0.58687,                 0.5318,                 0.3497,                 1.0791,                 1.3498,                  1.173,              0.0008045,              0.0008045,              0.0008045
                     74,                 1.1814,                 1.4652,                 1.1587,                0.48552,                0.59599,                0.52547,                0.35726,                 1.0504,                 1.3683,                 1.1587,             0.00079831,             0.00079831,             0.00079831
                     75,                 1.1832,                 1.4666,                 1.1633,                0.54514,                0.60472,                0.53896,                0.35667,                 1.0514,                 1.3761,                 1.1575,             0.00079213,             0.00079213,             0.00079213
                     76,                  1.182,                 1.4288,                  1.163,                0.52763,                0.60255,                0.54239,                0.35686,                 1.0701,                 1.3474,                 1.1714,             0.00078594,             0.00078594,             0.00078594
                     77,                 1.1731,                 1.4494,                 1.1509,                0.54197,                0.58931,                0.54394,                0.36467,                 1.0781,                 1.3795,                 1.1654,             0.00077975,             0.00077975,             0.00077975
                     78,                 1.1754,                 1.4458,                 1.1495,                0.54694,                0.60833,                0.55343,                0.37064,                 1.0524,                  1.347,                  1.159,             0.00077356,             0.00077356,             0.00077356
                     79,                  1.145,                 1.4461,                 1.1354,                0.52625,                0.59729,                0.54871,                0.36424,                 1.0489,                 1.3406,                 1.1548,             0.00076738,             0.00076738,             0.00076738
                     80,                 1.1455,                 1.4338,                 1.1479,                0.55168,                0.57894,                0.55112,                0.37007,                 1.0549,                 1.3237,                 1.1619,             0.00076119,             0.00076119,             0.00076119
                     81,                 1.1638,                  1.436,                 1.1567,                0.57267,                0.59097,                0.56241,                0.37998,                 1.0398,                 1.3317,                 1.1493,               0.000755,               0.000755,               0.000755
                     82,                 1.1544,                 1.4144,                 1.1521,                0.55584,                0.59873,                 0.5635,                0.38214,                 1.0373,                 1.3084,                 1.1424,             0.00074881,             0.00074881,             0.00074881
                     83,                 1.1476,                 1.3943,                 1.1477,                0.56413,                0.61255,                0.56721,                0.38289,                   1.03,                 1.3058,                 1.1435,             0.00074263,             0.00074263,             0.00074263
                     84,                  1.136,                 1.4318,                 1.1369,                0.55793,                0.62733,                0.57364,                0.39054,                 1.0447,                 1.4078,                 1.1488,             0.00073644,             0.00073644,             0.00073644
                     85,                 1.1466,                  1.412,                 1.1308,                0.53786,                0.61191,                0.55071,                0.37038,                 1.0567,                 1.3288,                 1.1568,             0.00073025,             0.00073025,             0.00073025
                     86,                 1.1565,                 1.4079,                 1.1522,                0.54548,                0.59605,                0.57829,                0.38677,                 1.0431,                 1.3251,                 1.1503,             0.00072406,             0.00072406,             0.00072406
                     87,                 1.1506,                 1.4145,                 1.1406,                0.56269,                0.62688,                0.57873,                0.39962,                 1.0284,                 1.2925,                 1.1413,             0.00071788,             0.00071788,             0.00071788
                     88,                 1.1352,                 1.3915,                 1.1232,                0.59971,                0.61115,                0.58534,                0.39513,                 1.0417,                 1.3764,                 1.1468,             0.00071169,             0.00071169,             0.00071169
                     89,                  1.145,                 1.4102,                 1.1425,                0.52992,                0.64015,                0.58247,                0.39669,                 1.0393,                 1.3079,                 1.1506,              0.0007055,              0.0007055,              0.0007055
                     90,                 1.1149,                  1.374,                 1.1283,                0.61869,                0.58916,                0.57571,                0.39257,                 1.0351,                 1.3011,                 1.1469,             0.00069931,             0.00069931,             0.00069931
                     91,                  1.135,                 1.3952,                 1.1418,                0.52437,                0.61686,                0.56888,                0.38641,                 1.0473,                 1.3045,                 1.1524,             0.00069313,             0.00069313,             0.00069313
                     92,                 1.1141,                 1.3956,                 1.1343,                0.60063,                0.62503,                0.59275,                0.39906,                 1.0402,                 1.3149,                 1.1466,             0.00068694,             0.00068694,             0.00068694
                     93,                 1.1293,                 1.3873,                 1.1246,                0.58634,                0.61097,                0.60454,                0.41991,                 1.0001,                 1.2562,                 1.1299,             0.00068075,             0.00068075,             0.00068075
                     94,                 1.1283,                 1.3752,                 1.1152,                0.58467,                0.61137,                0.60525,                 0.4197,                 1.0036,                 1.2636,                 1.1272,             0.00067456,             0.00067456,             0.00067456
                     95,                 1.1136,                 1.3891,                 1.1228,                0.61211,                0.58652,                0.58791,                0.39846,                 1.0368,                 1.2949,                 1.1437,             0.00066838,             0.00066838,             0.00066838
                     96,                 1.1151,                 1.3633,                 1.1193,                0.57056,                0.63841,                0.61004,                0.42027,                 1.0088,                 1.2568,                 1.1284,             0.00066219,             0.00066219,             0.00066219
                     97,                 1.1264,                 1.3745,                 1.1272,                0.59442,                0.63526,                0.61875,                0.42643,                  1.006,                 1.2382,                 1.1307,               0.000656,               0.000656,               0.000656
                     98,                 1.1133,                 1.3456,                 1.1333,                0.59257,                0.66111,                0.61389,                0.41755,                 1.0214,                  1.255,                 1.1323,             0.00064981,             0.00064981,             0.00064981
                     99,                 1.1266,                 1.3456,                 1.1266,                0.60235,                0.65514,                  0.617,                0.42196,                 1.0022,                 1.2581,                 1.1257,             0.00064362,             0.00064362,             0.00064362
                    100,                 1.1035,                 1.3525,                 1.1134,                0.59714,                0.64409,                0.62632,                0.43327,                0.99081,                 1.2276,                 1.1193,             0.00063744,             0.00063744,             0.00063744
                    101,                  1.114,                  1.368,                 1.1251,                0.59675,                0.64816,                0.61663,                0.42834,                0.98378,                 1.2216,                 1.1191,             0.00063125,             0.00063125,             0.00063125
                    102,                 1.1141,                  1.354,                 1.1219,                0.59456,                0.65703,                0.61792,                0.43394,                0.98301,                 1.2232,                 1.1137,             0.00062506,             0.00062506,             0.00062506
                    103,                 1.1062,                  1.349,                 1.1199,                0.62692,                0.63596,                 0.6327,                0.44227,                0.98674,                 1.2237,                 1.1169,             0.00061887,             0.00061887,             0.00061887
                    104,                   1.11,                  1.356,                 1.1311,                0.58094,                0.62189,                0.62011,                0.42602,                 1.0009,                 1.2705,                 1.1263,             0.00061269,             0.00061269,             0.00061269
                    105,                 1.1152,                 1.3478,                 1.1188,                0.60033,                0.66961,                0.62593,                0.42785,                0.98558,                 1.2287,                 1.1158,              0.0006065,              0.0006065,              0.0006065
